url_length,hostname_length,path_length,dot_count,hyphen_count,at_count,question_count,ampersand_count,slash_count,digit_count,subdomain_count,has_ip,has_https,has_suspicious_keyword,has_shortener,has_port,entropy,class
130,35,53,8,2,0,0,2,10,9,4,0,1,1,0,0,4.15,phishing
49,14,22,2,1,0,1,2,6,0,0,0,1,0,0,0,3.674,benign
137,63,74,5,1,0,1,3,6,11,3,0,0,1,0,0,4.162,phishing
62,22,17,2,1,0,0,0,7,1,1,0,1,0,0,0,2.868,benign
116,35,79,6,3,1,1,2,6,13,2,0,1,1,0,0,3.609,phishing
36,30,8,3,1,0,0,0,6,2,1,0,1,0,1,0,3.965,benign
69,70,20,5,4,0,0,1,5,11,1,1,0,1,0,0,5.081,phishing
32,24,24,2,1,0,1,3,4,4,0,0,1,0,0,0,2.859,benign
139,23,32,3,2,0,1,0,9,16,4,0,0,1,0,0,4.408,phishing
61,15,16,3,2,0,2,1,5,0,0,0,1,0,0,0,2.782,benign
94,56,48,5,1,0,2,5,9,10,4,0,0,1,1,0,4.707,phishing
19,10,14,3,2,0,2,0,7,2,0,0,1,0,0,0,2.973,benign
129,45,74,2,4,0,2,2,4,7,3,0,0,1,0,0,5.021,phishing
20,22,5,2,1,0,1,0,5,4,0,0,1,0,0,0,3.115,benign
151,49,68,8,1,0,1,2,10,17,1,0,0,1,0,0,4.122,phishing
18,25,26,1,0,0,0,3,2,5,0,0,1,0,0,0,3.919,benign
180,48,43,5,5,0,1,4,11,6,1,0,1,1,0,1,4.515,phishing
70,8,18,3,1,0,2,3,3,3,1,0,1,0,0,0,3.047,benign
79,62,42,6,4,0,3,0,8,17,4,0,1,1,1,1,4.491,phishing
20,12,32,3,1,0,0,3,2,4,1,0,0,0,0,0,2.627,benign
155,34,55,6,6,0,0,2,11,14,3,0,1,1,0,0,4.735,phishing
33,28,18,1,2,0,0,3,2,5,0,0,1,0,0,0,3.853,benign
92,40,59,5,2,0,3,4,5,7,2,0,1,1,0,0,5.326,phishing
27,15,29,3,1,0,1,2,7,0,1,0,1,0,0,0,3.087,benign
130,37,66,7,3,0,2,1,9,17,1,0,0,1,0,1,4.09,phishing
71,29,25,2,0,0,2,0,6,5,1,0,1,0,0,0,3.863,benign
83,58,36,6,3,0,1,5,4,3,3,1,0,1,0,0,5.319,phishing
38,21,11,1,0,0,2,2,6,4,1,0,1,0,0,0,3.871,benign
150,73,55,8,1,0,0,1,6,14,3,0,0,1,0,0,4.237,phishing
65,29,16,3,1,0,2,2,2,5,0,0,1,0,0,0,3.537,benign
137,22,71,7,3,0,0,1,3,3,3,1,0,1,0,0,4.277,phishing
41,29,34,2,2,0,2,1,5,5,0,0,1,0,0,0,3.673,benign
82,46,68,3,3,0,2,4,8,3,4,0,1,1,1,0,3.683,phishing
31,28,1,1,1,0,0,1,6,1,0,0,1,0,0,0,2.896,benign
154,27,12,4,2,1,2,1,4,2,2,0,1,1,0,0,3.848,phishing
21,12,26,3,0,0,2,0,5,3,1,0,1,0,0,0,2.574,benign
155,73,78,4,4,0,0,0,10,14,4,0,0,1,1,0,3.662,phishing
56,12,4,1,1,0,2,2,5,4,1,0,1,0,0,0,3.95,benign
138,74,39,5,4,1,3,2,10,14,4,1,0,1,0,0,5.407,phishing
61,23,4,1,0,0,0,3,2,5,1,0,1,0,0,0,3.06,benign
70,44,57,8,6,1,3,5,3,11,3,0,0,1,0,0,3.948,phishing
24,19,35,2,0,0,1,1,5,4,0,0,1,0,0,0,2.965,benign
152,37,55,4,1,0,1,4,9,4,2,1,1,1,0,0,4.252,phishing
47,18,10,2,1,0,2,2,6,4,0,0,1,0,0,0,2.639,benign
111,60,66,5,5,0,2,1,11,5,3,0,0,1,0,0,4.834,phishing
20,15,25,3,0,0,0,1,4,1,0,0,1,0,0,0,3.232,benign
71,42,80,7,2,0,2,0,9,3,4,0,1,1,1,0,4.647,phishing
63,28,26,2,0,0,1,0,4,1,1,0,1,0,0,0,2.914,benign
130,43,79,2,4,1,2,1,8,7,1,0,0,1,0,1,4.199,phishing
64,28,9,1,0,0,0,2,3,1,0,0,1,0,0,0,3.34,benign
151,54,69,7,5,0,2,5,8,6,4,0,0,1,0,0,3.612,phishing
50,10,19,2,1,0,0,0,4,2,0,0,1,1,0,0,3.154,benign
129,53,17,5,5,0,2,4,10,18,2,1,0,1,1,0,5.465,phishing
23,24,11,1,0,0,2,3,5,4,0,0,1,0,0,0,3.654,benign
61,68,54,2,3,0,3,2,7,6,3,0,1,1,1,0,4.812,phishing
60,20,8,3,2,0,0,2,6,3,1,0,1,0,0,0,3.665,benign
122,23,66,6,3,0,2,1,6,12,4,0,1,1,0,0,5.076,phishing
50,25,33,1,2,0,1,1,6,3,0,0,1,0,0,0,2.781,benign
111,20,64,4,6,0,3,4,7,16,2,0,0,1,1,0,5.17,phishing
41,29,28,2,1,0,1,3,3,1,0,0,1,0,0,0,4.088,benign
146,72,78,8,1,0,1,2,10,18,2,1,0,1,1,0,5.269,phishing
19,21,3,2,2,0,1,1,5,0,1,0,1,0,0,0,3.07,benign
73,26,16,4,4,0,1,5,10,16,1,1,0,1,0,0,5.38,phishing
56,24,27,1,1,0,0,2,2,0,0,0,1,0,0,0,4.039,benign
131,52,14,7,5,0,1,2,9,2,3,0,0,1,0,0,5.449,phishing
22,24,34,3,2,0,2,0,5,3,0,0,1,1,0,0,3.84,benign
99,33,25,8,5,0,2,1,3,13,3,1,0,1,0,0,4.891,phishing
58,13,8,1,2,0,1,0,4,1,0,0,1,0,0,0,3.177,benign
159,52,72,4,1,0,1,2,8,3,3,0,1,1,0,0,4.379,phishing
42,18,11,2,2,0,1,2,6,2,0,0,1,0,0,0,3.427,benign
96,24,22,4,6,0,3,4,9,7,4,0,0,1,1,0,5.496,phishing
35,28,3,1,2,0,2,3,4,4,0,0,1,0,0,0,2.559,benign
63,33,58,4,4,1,0,4,5,16,3,0,1,1,0,0,4.296,phishing
59,16,15,1,0,0,2,1,5,4,1,0,1,0,0,0,2.865,benign
133,36,74,3,1,0,0,3,5,16,1,1,1,1,1,0,4.919,phishing
53,25,18,2,0,0,2,1,4,4,0,0,1,0,0,0,2.545,benign
125,54,59,5,5,0,0,0,7,14,4,0,1,1,1,0,5.445,phishing
59,10,28,2,2,0,2,2,3,4,0,0,1,0,0,0,3.913,benign
121,27,50,3,2,0,1,2,11,11,1,0,0,1,0,0,4.106,phishing
52,10,32,3,0,0,2,1,3,5,1,0,1,0,0,0,2.577,benign
137,67,45,7,2,0,3,4,3,17,3,0,0,1,0,0,4.312,phishing
47,10,3,1,1,0,1,3,5,1,1,0,1,0,0,0,3.963,benign
179,43,28,8,3,0,0,2,6,16,1,0,0,1,0,0,4.268,phishing
57,21,15,1,1,0,2,2,3,1,1,0,1,0,0,0,2.653,benign
105,50,70,3,2,0,0,0,7,17,4,0,0,1,0,0,4.029,phishing
41,20,23,1,1,0,0,1,4,4,1,0,0,0,0,0,4.181,benign
142,57,27,3,1,0,2,4,8,6,2,0,0,1,0,0,4.927,phishing
69,23,33,2,0,0,2,1,4,4,1,0,1,1,0,0,3.072,benign
161,50,80,5,6,0,3,0,8,12,1,1,0,1,0,0,4.876,phishing
19,27,30,2,2,0,2,1,7,0,1,0,1,0,0,0,2.751,benign
142,33,16,6,6,0,0,3,8,15,2,0,0,1,0,0,4.443,phishing
72,9,8,3,0,0,2,2,7,3,1,0,1,0,0,0,3.102,benign
153,73,45,6,4,0,1,2,11,11,2,1,1,1,0,0,4.88,phishing
49,18,30,2,2,0,2,2,4,0,1,0,1,0,0,0,2.749,benign
60,36,22,4,4,0,3,1,6,10,3,0,0,1,0,0,4.84,phishing
51,15,14,1,0,0,1,2,7,3,0,0,1,0,1,0,2.768,benign
138,74,72,5,6,0,2,2,7,3,1,0,0,1,0,0,3.575,phishing
29,21,11,1,1,0,1,1,7,2,0,0,0,0,0,1,2.984,benign
137,52,79,5,2,1,3,2,6,5,3,0,0,1,0,0,4.973,phishing
68,17,12,1,2,0,2,3,5,4,1,0,1,0,0,0,3.05,benign
86,18,45,5,2,0,2,2,7,2,3,0,1,1,0,0,4.114,phishing
43,29,32,3,1,0,2,0,7,2,1,0,1,0,0,0,3.771,benign
132,41,65,7,5,1,1,1,12,4,4,0,0,1,1,0,5.158,phishing
75,24,12,3,2,0,0,1,4,4,1,0,1,0,0,0,3.368,benign
158,21,70,3,5,0,0,4,10,11,1,0,1,1,0,0,3.591,phishing
40,30,4,3,0,0,0,3,2,2,1,0,1,0,0,0,4.138,benign
102,75,60,5,4,0,1,5,8,5,2,1,0,1,0,1,5.17,phishing
66,8,19,2,2,0,2,3,6,3,0,0,1,0,0,0,3.733,benign
69,20,65,6,1,0,0,0,12,3,4,0,1,1,0,0,4.305,phishing
32,25,13,1,0,0,2,2,3,5,1,0,1,0,0,0,3.99,benign
139,51,40,5,3,0,1,5,9,17,1,1,1,1,0,0,4.137,phishing
44,21,9,2,1,0,0,3,3,1,1,0,1,0,0,0,3.202,benign
108,53,79,3,4,0,1,2,4,16,3,0,1,1,0,0,4.847,phishing
56,9,4,1,2,0,2,1,5,1,1,0,1,0,0,0,3.761,benign
150,66,73,3,6,0,1,3,6,12,3,0,0,1,0,0,4.526,phishing
49,22,6,3,1,0,1,1,4,2,1,0,0,0,0,0,3.441,benign
129,55,65,4,2,0,1,3,12,9,4,0,1,1,0,0,4.477,phishing
64,28,31,2,0,0,2,2,3,1,1,0,1,0,1,0,3.391,benign
162,72,21,8,6,0,0,3,5,9,1,1,0,1,0,0,4.736,phishing
60,27,30,3,1,0,0,0,6,4,1,0,0,0,0,0,2.529,benign
159,62,67,8,2,0,0,4,5,9,2,0,0,1,0,0,3.658,phishing
43,22,15,3,0,0,1,0,7,5,0,0,1,0,0,0,2.516,benign
76,23,75,8,4,0,2,4,4,18,1,0,1,1,0,0,4.042,phishing
22,29,17,3,2,0,2,0,3,2,0,0,1,0,0,0,3.177,benign
64,37,32,6,2,0,3,5,11,12,4,1,0,1,1,0,4.502,phishing
40,9,6,2,0,0,0,2,6,4,1,0,1,0,0,0,3.266,benign
84,40,60,5,2,0,3,0,12,11,2,1,0,1,0,0,4.768,phishing
65,20,20,2,0,0,0,0,4,3,1,0,1,0,0,0,3.447,benign
120,44,25,2,1,0,0,4,12,12,4,0,0,1,0,0,4.619,phishing
33,26,33,1,2,0,1,1,3,2,1,0,1,0,0,0,3.01,benign
155,22,58,4,2,0,3,4,12,8,4,0,0,1,1,0,4.74,phishing
69,18,28,2,1,0,2,1,4,2,0,0,1,0,0,0,3.749,benign
136,49,43,4,4,0,3,2,4,8,2,0,0,1,1,0,4.917,phishing
46,17,4,2,2,0,1,1,7,2,0,0,1,0,0,0,3.263,benign
131,48,63,6,5,1,3,4,3,13,1,0,0,1,0,0,4.725,phishing
54,28,25,2,1,0,0,0,2,2,0,0,1,0,0,0,3.258,benign
105,47,76,3,3,1,3,0,7,15,1,0,1,1,0,0,4.411,phishing
31,24,30,2,1,0,0,3,7,5,1,0,1,0,0,0,3.944,benign
137,24,33,7,2,0,1,2,11,15,4,0,0,1,0,0,4.364,phishing
19,27,12,2,2,0,1,3,2,5,0,0,1,0,0,0,2.673,benign
166,52,35,4,3,0,0,2,10,18,3,0,0,1,0,0,5.191,phishing
57,13,19,3,2,0,0,1,4,0,0,0,1,0,0,0,3.211,benign
72,54,61,5,2,0,1,4,5,17,3,0,0,1,0,0,4.218,phishing
18,23,8,1,1,0,2,3,5,5,1,0,1,0,0,0,2.552,benign
152,32,49,2,3,0,2,1,10,17,1,0,0,1,0,1,4.584,phishing
66,9,28,3,0,0,1,0,7,5,0,0,1,1,0,0,3.888,benign
111,73,27,8,2,0,2,5,12,15,2,0,1,1,1,0,4.64,phishing
52,16,34,1,1,0,2,2,4,4,1,0,1,0,0,0,2.731,benign
151,68,64,2,3,1,1,5,5,9,2,1,1,1,0,0,4.479,phishing
54,28,17,3,1,0,1,3,2,5,0,0,1,0,0,0,3.273,benign
117,38,12,8,6,0,3,5,8,4,4,0,0,1,0,0,5.157,phishing
39,25,8,3,1,0,1,0,2,0,1,0,0,1,0,0,4.186,benign
109,30,28,7,3,0,2,0,8,10,1,0,1,1,0,0,4.111,phishing
62,15,27,3,0,0,2,0,2,1,1,0,0,0,0,0,2.514,benign
98,70,27,8,4,0,3,0,6,14,1,1,0,1,0,0,3.774,phishing
67,12,9,1,2,0,2,0,6,5,0,0,1,0,0,0,3.2,benign
142,46,39,2,1,0,0,4,9,13,4,0,0,1,0,0,4.607,phishing
56,27,18,3,0,0,2,2,3,4,0,0,1,0,0,0,4.123,benign
118,42,26,3,4,0,0,4,3,13,3,0,1,1,0,0,4.866,phishing
66,23,4,1,2,0,0,0,4,1,0,0,1,1,0,0,3.711,benign
153,44,66,7,4,0,1,2,4,11,1,0,0,1,1,0,4.281,phishing
58,28,4,2,2,0,1,1,2,1,0,0,1,0,0,0,3.632,benign
139,65,34,2,1,0,0,1,10,13,3,0,0,1,0,0,5.273,phishing
67,8,21,2,1,0,2,0,4,5,0,0,1,0,0,0,2.784,benign
75,34,25,6,6,0,1,5,11,2,1,1,0,1,0,0,5.34,phishing
29,9,35,3,2,0,2,3,3,2,0,0,1,0,0,0,3.134,benign
119,61,18,3,2,0,0,3,4,16,3,1,0,1,0,0,4.238,phishing
36,26,19,3,2,0,0,3,4,4,1,0,1,0,0,0,3.853,benign
74,18,64,2,2,0,0,2,3,14,3,0,0,1,0,0,3.62,phishing
27,30,17,1,0,0,0,3,7,2,1,0,1,0,0,0,3.894,benign
64,55,19,5,6,1,1,2,7,12,4,1,1,1,0,0,3.649,phishing
30,12,6,1,0,0,0,3,5,2,1,0,1,0,0,0,3.288,benign
164,25,23,3,6,0,0,1,8,6,1,1,1,1,0,0,4.098,phishing
70,13,1,2,1,0,2,1,2,3,0,0,1,0,0,0,4.17,benign
71,30,63,4,6,0,0,4,12,10,1,0,0,1,1,0,3.758,phishing
75,18,7,1,1,0,0,1,6,3,1,0,1,0,0,0,4.044,benign
90,35,69,3,1,0,1,5,7,17,4,1,0,1,0,0,4.338,phishing
59,24,15,3,2,0,0,3,7,2,1,0,1,0,0,0,3.16,benign
78,19,52,6,2,0,2,0,10,18,3,1,1,1,1,0,4.814,phishing
35,25,3,1,2,0,1,2,3,1,0,0,1,0,0,0,2.548,benign
144,40,30,6,2,0,3,4,7,7,4,0,0,1,0,0,4.456,phishing
39,27,12,1,1,0,2,1,4,0,0,0,1,0,0,0,3.395,benign
101,22,59,7,6,0,0,2,7,12,2,1,1,1,0,0,4.474,phishing
38,13,35,3,2,0,1,1,7,4,0,0,1,0,0,0,2.503,benign
144,54,62,8,5,0,2,4,6,5,4,0,1,1,0,1,3.836,phishing
74,10,21,2,0,0,1,1,3,5,0,0,1,0,0,0,3.245,benign
108,28,64,5,4,0,3,0,10,9,2,0,1,1,0,0,4.022,phishing
24,10,21,1,1,0,0,0,6,0,1,0,1,0,0,0,4.102,benign
76,56,67,3,1,0,1,1,9,10,3,0,0,1,0,0,4.482,phishing
21,19,0,2,0,0,1,3,3,0,0,0,1,0,1,0,2.696,benign
155,43,72,5,6,0,3,1,8,14,3,0,0,1,0,0,5.174,phishing
54,9,9,3,2,0,0,0,7,2,1,0,1,0,0,0,3.891,benign
108,52,72,6,2,0,0,3,3,18,2,0,1,1,0,1,5.444,phishing
69,14,8,1,1,0,0,3,3,5,0,0,1,0,0,0,2.614,benign
104,53,62,6,3,1,3,0,12,18,4,0,0,1,0,0,5.43,phishing
24,11,6,2,2,0,1,3,4,3,1,0,1,0,0,0,3.551,benign
142,62,63,2,4,1,2,5,6,3,4,1,1,1,0,0,4.106,phishing
35,23,6,1,0,0,1,3,4,2,1,0,1,0,0,0,3.192,benign
117,66,78,8,3,0,1,0,7,18,4,0,1,1,1,0,3.886,phishing
71,14,3,1,0,0,1,0,4,5,0,0,1,0,0,0,2.711,benign
58,33,59,5,5,0,3,4,11,13,3,0,1,1,0,0,4.07,phishing
42,9,10,3,0,0,0,1,7,1,1,0,1,0,0,0,3.66,benign
115,26,34,6,1,0,2,5,7,15,4,1,0,1,0,0,4.541,phishing
57,20,6,1,2,0,2,2,6,5,1,0,1,0,0,1,3.589,benign
165,35,45,7,6,1,2,1,5,18,2,1,1,1,1,0,4.821,phishing
61,12,1,3,1,0,1,2,5,3,1,0,1,0,1,0,3.083,benign
146,32,80,7,4,1,2,4,7,7,2,0,0,1,0,0,4.618,phishing
29,29,21,3,0,0,0,2,3,5,1,0,1,0,0,0,3.288,benign
70,48,18,8,6,0,0,3,6,18,1,1,0,1,0,0,5.208,phishing
26,14,21,2,2,0,1,1,4,5,0,0,1,0,0,0,3.579,benign
55,46,47,3,2,0,1,3,4,6,4,0,0,1,1,0,3.575,phishing
30,19,0,2,2,0,0,0,7,0,0,0,1,0,0,0,3.356,benign
94,28,20,8,1,0,2,3,11,18,3,0,1,1,0,1,4.48,phishing
66,14,10,2,0,0,0,1,7,1,0,0,1,0,0,0,3.606,benign
59,42,44,8,5,0,0,5,4,2,1,0,0,1,0,0,4.449,phishing
27,14,0,2,1,0,2,0,7,4,1,0,1,0,0,0,3.37,benign
134,25,48,2,1,0,1,2,11,8,3,1,0,1,0,0,3.915,phishing
48,18,15,1,0,0,2,0,2,4,1,0,1,0,0,0,2.672,benign
87,59,41,5,3,0,0,0,5,3,3,0,1,1,0,0,5.202,phishing
74,9,0,1,2,0,2,1,4,2,1,0,1,0,0,0,3.083,benign
69,43,63,5,3,0,3,3,5,5,2,0,0,1,1,0,4.332,phishing
55,23,28,1,2,0,1,2,6,0,0,0,1,0,0,0,2.608,benign
138,38,13,7,6,0,1,5,8,18,1,0,1,1,0,0,4.783,phishing
27,25,3,1,2,0,0,3,5,1,0,0,1,0,0,0,3.362,benign
125,59,60,5,2,0,3,4,10,4,4,0,0,1,0,0,3.705,phishing
44,9,35,3,0,0,0,2,6,4,0,0,1,0,0,0,3.888,benign
163,47,54,6,5,0,2,5,10,5,1,1,0,1,0,0,5.429,phishing
36,25,33,2,2,0,0,0,3,3,0,0,1,0,0,0,2.833,benign
70,72,62,3,4,0,1,5,8,5,4,0,0,1,0,0,5.284,phishing
47,29,32,1,1,0,0,0,6,3,1,0,1,0,0,0,2.795,benign
159,26,25,5,6,0,2,4,9,15,2,0,1,1,1,0,3.767,phishing
44,27,32,2,2,0,2,2,7,5,0,0,1,0,0,0,3.643,benign
180,63,34,6,5,0,2,5,4,13,4,0,1,1,0,0,5.288,phishing
52,17,27,1,2,0,0,0,5,1,0,0,1,0,0,0,2.987,benign
87,27,19,7,3,0,0,2,10,5,2,1,0,1,0,0,5.098,phishing
36,30,3,2,1,0,1,2,6,0,0,0,1,0,0,0,3.253,benign
83,58,59,8,5,0,1,5,6,11,4,0,1,1,0,0,4.528,phishing
42,9,27,2,2,0,1,1,3,4,1,0,0,0,0,0,4.079,benign
131,21,50,5,5,0,0,5,8,18,2,1,0,1,0,0,4.586,phishing
43,10,22,1,0,0,2,2,4,2,1,0,1,0,0,1,3.9,benign
180,59,13,2,6,0,1,5,12,9,1,0,0,1,1,1,4.272,phishing
52,17,1,3,1,0,2,3,5,0,1,0,1,0,0,0,2.785,benign
177,67,80,6,1,0,1,5,6,15,1,0,1,1,1,0,4.37,phishing
70,10,9,1,1,0,2,2,2,0,0,0,0,0,0,0,2.887,benign
88,44,61,5,6,0,2,0,9,5,1,0,0,1,0,0,4.902,phishing
22,19,32,1,1,0,2,2,6,0,1,0,1,0,0,0,3.306,benign
123,32,29,7,4,0,2,5,5,11,3,1,0,1,1,0,3.584,phishing
54,27,25,3,2,0,0,2,3,5,1,0,1,0,0,0,2.813,benign
133,71,44,3,1,0,0,4,10,4,3,0,0,1,0,0,5.403,phishing
40,12,15,1,1,0,2,0,3,2,1,0,1,0,0,0,3.461,benign
101,69,52,5,2,0,1,1,9,10,3,0,1,1,1,0,4.217,phishing
37,23,35,1,0,0,2,0,4,1,0,0,1,0,0,0,2.532,benign
119,58,15,8,5,0,1,0,11,10,4,0,0,1,0,0,4.679,phishing
72,17,8,2,2,0,2,0,5,2,0,0,1,0,0,0,2.782,benign
120,26,69,3,2,0,1,5,10,13,1,0,0,1,0,0,3.586,phishing
31,24,23,2,1,0,1,0,2,5,1,0,1,1,0,0,3.761,benign
129,52,34,5,6,0,0,4,7,14,2,0,0,1,1,0,4.464,phishing
56,8,32,1,1,0,0,1,2,4,1,0,1,0,0,0,2.701,benign
84,44,54,7,1,0,3,3,6,7,4,0,0,1,0,0,4.759,phishing
20,26,9,1,0,0,1,1,6,3,0,0,1,0,0,0,2.868,benign
132,48,73,3,2,0,1,4,5,18,3,0,1,1,1,0,3.638,phishing
42,20,8,1,0,0,0,3,3,4,0,0,1,0,0,0,3.403,benign
151,25,23,5,6,0,0,5,9,18,4,0,0,1,0,0,5.105,phishing
68,20,22,3,2,0,2,0,5,1,1,0,1,0,0,0,3.991,benign
107,34,36,2,6,0,0,4,11,5,1,0,0,1,1,0,3.713,phishing
45,28,16,2,2,0,1,2,6,2,1,0,1,0,0,0,3.129,benign
126,48,44,4,5,0,3,5,5,5,2,0,1,1,0,0,4.301,phishing
39,25,3,1,1,0,2,0,2,1,1,0,1,0,0,0,2.636,benign
59,64,61,5,5,0,2,5,12,3,2,0,0,1,0,0,5.108,phishing
36,14,2,3,2,0,2,1,6,1,0,0,1,0,1,0,2.969,benign
106,40,62,5,5,0,0,5,4,4,3,1,0,1,0,0,5.131,phishing
32,27,12,2,1,0,2,0,4,1,1,0,1,0,0,0,2.699,benign
120,34,80,8,5,0,3,3,12,17,2,1,1,1,0,0,4.674,phishing
19,23,7,2,0,0,1,1,7,5,0,0,1,0,0,0,3.691,benign
88,33,48,2,4,0,2,0,11,7,4,0,0,1,0,0,4.992,phishing
30,23,12,1,2,0,0,2,3,1,0,0,1,0,0,0,2.704,benign
65,61,75,6,1,0,0,3,8,12,4,1,1,1,0,0,3.866,phishing
66,24,17,2,0,0,2,1,2,4,1,0,1,0,0,0,3.667,benign
77,47,27,7,5,0,0,0,6,14,1,0,0,1,0,0,3.974,phishing
48,27,21,2,0,0,1,3,3,3,1,0,1,0,0,0,4.165,benign
142,32,24,7,3,0,3,3,6,6,2,0,0,1,0,0,5.287,phishing
58,24,34,3,1,0,1,2,4,4,0,0,1,0,0,0,3.31,benign
135,24,69,7,3,0,2,4,11,10,3,0,0,1,1,1,3.898,phishing
54,28,34,1,1,0,1,2,7,4,1,0,1,0,0,0,3.288,benign
177,27,33,7,3,0,3,0,4,7,3,0,0,1,0,0,4.789,phishing
35,22,23,3,2,0,2,3,5,1,0,0,1,0,0,0,3.765,benign
150,23,38,3,4,0,0,3,11,3,1,1,0,1,1,0,4.736,phishing
23,28,24,2,0,0,0,2,5,5,0,0,1,0,0,0,3.963,benign
96,73,72,5,5,1,3,1,11,7,4,0,0,1,0,0,4.779,phishing
37,19,30,3,0,0,0,3,4,2,1,0,1,0,0,0,3.942,benign
99,36,72,6,1,0,3,3,7,2,4,1,0,1,0,0,3.877,phishing
74,25,27,2,0,0,0,3,5,1,1,0,0,0,0,0,3.542,benign
143,61,46,4,6,0,2,3,6,4,2,0,0,1,0,0,4.901,phishing
49,14,20,1,0,0,0,0,3,0,1,0,1,0,0,0,2.756,benign
118,31,55,5,3,0,3,2,10,3,3,0,1,1,0,0,4.285,phishing
52,23,11,1,1,0,1,0,2,5,0,0,1,1,0,1,2.839,benign
149,67,24,6,6,1,3,3,7,12,2,0,0,1,1,0,4.007,phishing
58,17,12,2,0,0,2,1,2,1,1,0,1,0,0,0,3.842,benign
56,20,72,7,5,0,0,1,5,17,1,0,0,1,1,0,3.62,phishing
40,28,9,3,2,0,0,1,5,1,1,0,1,0,0,0,3.246,benign
79,19,60,4,6,0,0,3,10,11,4,0,0,1,0,0,4.051,phishing
71,27,35,1,0,0,2,1,5,2,1,0,1,0,0,0,3.747,benign
168,19,58,8,5,0,0,5,11,14,2,0,0,1,0,0,4.145,phishing
59,18,7,1,2,0,2,0,2,1,0,0,1,0,0,0,3.471,benign
